"Name","num_epochs","learning_rate","alpha_pos","alpha_neg","gamma_pos","gamma_neg","train_loss","train_acc","test_loss","test_acc"
"TreeLSTM_focal_a0.3_0.65_g3.5_1.5","5","0.0005","0.3","0.65","3.5","1.5","0.019333887749188948","0.929","0.023019366020050187","0.93"
"TreeLSTM_focal_a0.25_0.7_g3.5_1.5","5","0.0005","0.25","0.7","3.5","1.5","0.016095568270732958","0.926","0.024325888568105605","0.93"
"TreeLSTM_focal_a0.3_0.75_g3_1.5","5","0.0005","0.3","0.75","3","1.5","0.023015211971979293","0.929","0.028468625978208505","0.93"
"TreeLSTM_focal_a0.35_0.75_g2.5_2","5","0.0005","0.35","0.75","2.5","2","0.02109664582484771","0.933","0.026788998395204544","0.93"
"TreeLSTM_focal_a0.25_0.7_g3_2.5","5","0.0005","0.25","0.7","3","2.5","0.011988417456103932","0.93","0.015429868506124388","0.93"
"TreeLSTM_focal_a0.35_0.65_g3_2.5","5","0.0005","0.35","0.65","3","2.5","0.014446366508121766","0.938","0.016611102825173966","0.93"
"TreeLSTM_focal_a0.3_0.75_g2.5_1.5","5","0.0005","0.3","0.75","2.5","1.5","0.02143358886389742","0.939","0.02687857085122512","0.93"
"TreeLSTM_focal_a0.3_0.7_g3.5_2.5","5","0.0005","0.3","0.7","3.5","2.5","0.013437145101349978","0.924","0.015313634971299997","0.925"
"TreeLSTM_focal_a0.35_0.7_g2.5_2.5","5","0.0005","0.35","0.7","2.5","2.5","0.016235370525262423","0.938","0.018619967230524007","0.925"
"TreeLSTM_focal_a0.35_0.7_g2.5_2","5","0.0005","0.35","0.7","2.5","2","0.01978972973671579","0.942","0.02490235291994535","0.925"
"TreeLSTM_focal_a0.35_0.65_g3.5_1.5","5","0.0005","0.35","0.65","3.5","1.5","0.02190667727873439","0.931","0.023520583143601052","0.925"
"TreeLSTM_focal_a0.35_0.7_g3_2","5","0.0005","0.35","0.7","3","2","0.017848815210902737","0.938","0.02089606619511659","0.925"
"TreeLSTM_focal_a0.3_0.7_g2.5_1.5","5","0.0005","0.3","0.7","2.5","1.5","0.023741757770675043","0.933","0.02988357634211962","0.925"
"TreeLSTM_focal_a0.25_0.7_g2.5_2","5","0.0005","0.25","0.7","2.5","2","0.016217419970041468","0.936","0.019216426612379454","0.925"
"TreeLSTM_focal_a0.25_0.65_g2.5_2","5","0.0005","0.25","0.65","2.5","2","0.01527838917848255","0.93","0.016500341562697522","0.925"
"TreeLSTM_focal_a0.3_0.65_g3.5_2.5","5","0.0005","0.3","0.65","3.5","2.5","0.011372273307411916","0.932","0.012918388506827446","0.925"
"TreeLSTM_focal_a0.35_0.7_g3_2.5","5","0.0005","0.35","0.7","3","2.5","0.0145301189391859","0.935","0.01620283121099839","0.925"
"TreeLSTM_focal_a0.25_0.65_g3_1.5","5","0.0005","0.25","0.65","3","1.5","0.020396502784615946","0.919","0.02242428852388492","0.925"
"TreeLSTM_focal_a0.25_0.75_g2.5_1.5","5","0.0005","0.25","0.75","2.5","1.5","0.024196659820893453","0.929","0.028144107594226416","0.925"
"TreeLSTM_focal_a0.25_0.7_g3_1.5","5","0.0005","0.25","0.7","3","1.5","0.019148573704389115","0.932","0.022213179653940297","0.925"
"TreeLSTM_focal_a0.25_0.65_g2.5_2.5","5","0.0005","0.25","0.65","2.5","2.5","0.013327578962263132","0.937","0.015794402865979534","0.925"
"TreeLSTM_focal_a0.25_0.7_g3.5_2.5","5","0.0005","0.25","0.7","3.5","2.5","0.012650250878539824","0.918","0.0144190016345909","0.925"
"TreeLSTM_focal_a0.25_0.75_g2.5_2","5","0.0005","0.25","0.75","2.5","2","0.019098914342947183","0.933","0.02150351582811429","0.92"
"TreeLSTM_focal_a0.3_0.75_g3.5_2.5","5","0.0005","0.3","0.75","3.5","2.5","0.011891710509117396","0.933","0.013088112911925864","0.92"
"TreeLSTM_focal_a0.25_0.75_g3.5_2","5","0.0005","0.25","0.75","3.5","2","0.013684323061228037","0.927","0.01514782036583011","0.92"
"TreeLSTM_focal_a0.3_0.7_g3.5_2","5","0.0005","0.3","0.7","3.5","2","0.014318159038555763","0.93","0.01641430674443165","0.92"
"TreeLSTM_focal_a0.35_0.7_g3.5_1.5","5","0.0005","0.35","0.7","3.5","1.5","0.021800663832220298","0.926","0.02434783711886177","0.92"
"TreeLSTM_focal_a0.25_0.75_g3.5_1.5","5","0.0005","0.25","0.75","3.5","1.5","0.018784158445510363","0.918","0.02143349632835732","0.92"
"TreeLSTM_focal_a0.35_0.65_g3.5_2","5","0.0005","0.35","0.65","3.5","2","0.015120909682341983","0.93","0.017581809509115722","0.92"
"TreeLSTM_focal_a0.35_0.65_g3.5_2.5","5","0.0005","0.35","0.65","3.5","2.5","0.014233967119325248","0.928","0.01377614952910405","0.92"
"TreeLSTM_focal_a0.25_0.65_g2.5_1.5","5","0.0005","0.25","0.65","2.5","1.5","0.01966238601340188","0.935","0.022731228445011836","0.92"
